run_id,trial_id,scenario,name,timestamp,detail
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,burst_finished,2026-09-08T14:54:18.544863224Z,requests=100
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,tasks_finished,2026-09-08T14:54:18.546691354Z,tasks=1
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,derivative_verified,2026-09-08T14:54:18.568598122Z,bytes=67940 webp=true
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,health_after,2026-09-08T14:54:18.777280709Z,stable=true healthy=1
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,trial_started,2026-09-08T14:54:18.794064971Z,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,health_before,2026-09-08T14:54:19.004482571Z,stable=true healthy=1
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,tasks_prepared,2026-09-08T14:54:19.006571475Z,tasks=1
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,derivative_deleted,2026-09-08T14:54:19.030903887Z,result=success
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,cold_checked,2026-09-08T14:54:19.044610775Z,missing=true
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,burst_ready,2026-09-08T14:54:19.044854131Z,requests=100
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,burst_released,2026-09-08T14:54:19.044871853Z,start_channel=closed
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,burst_finished,2026-09-08T14:54:20.141776104Z,requests=100
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,tasks_finished,2026-09-08T14:54:20.143629975Z,tasks=1
