mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
baseline,transform-error,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.334,0.473,1.413,1.165,1.732,2.907
baseline,transform-error,hit,recovery,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343,0.508,19.692,1.658,41.710,32.991
baseline,transform-error,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,565.054,571.381,571.381,554.263,605.792,577.088
baseline,transform-error,healthy-miss,fault,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,291.102,299.291,300.642,293.339,308.281,302.347
baseline,transform-error,healthy-miss,recovery,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,565.326,573.053,574.333,558.987,606.347,577.371
baseline,transform-error,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.270,569.737,570.808,553.794,606.112,577.395
baseline,transform-error,poisoned-miss,fault,5,60.000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.771,2.704,3.077,2.801,3.232,3.485
baseline,transform-error,poisoned-miss,recovery,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,299.369,570.530,572.581,554.903,604.728,579.199
bounded-wait,transform-error,hit,normal,5,598.800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360,0.490,8.675,1.061,20.282,33.543
bounded-wait,transform-error,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.342,0.468,1.390,1.057,1.969,3.978
bounded-wait,transform-error,hit,recovery,5,1198.600,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.345,0.482,19.821,19.429,20.119,39.678
bounded-wait,transform-error,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,578.875,585.007,585.007,556.124,605.654,586.789
bounded-wait,transform-error,healthy-miss,fault,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,293.389,298.734,299.707,294.040,305.413,300.812
bounded-wait,transform-error,healthy-miss,recovery,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,577.568,584.556,586.339,558.384,610.765,590.292
bounded-wait,transform-error,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.842,583.200,584.397,557.041,608.348,586.783
bounded-wait,transform-error,poisoned-miss,fault,5,60.000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.620,2.809,3.025,2.853,3.156,3.324
bounded-wait,transform-error,poisoned-miss,recovery,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.355,583.073,584.938,558.424,606.553,586.417
kill-switch,transform-error,hit,normal,5,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.355,0.521,17.079,1.522,28.972,28.521
kill-switch,transform-error,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325,0.441,0.621,0.556,0.694,2.690
kill-switch,transform-error,hit,recovery,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.335,0.484,16.406,1.925,20.602,28.450
kill-switch,transform-error,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.875,561.016,561.016,549.463,588.318,561.405
kill-switch,transform-error,healthy-miss,fault,5,30.000,0.333333,0.666667,0.000000,0.666667,0.666667,0.666667,0.666667,0.275,293.265,294.818,288.516,303.615,297.001
kill-switch,transform-error,healthy-miss,recovery,5,30.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,552.689,561.600,562.931,549.929,590.574,566.812
kill-switch,transform-error,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,298.852,560.909,561.865,551.650,588.556,565.571
kill-switch,transform-error,poisoned-miss,fault,5,60.000,0.000000,1.000000,0.000000,0.666667,1.000000,1.000000,1.000000,0.277,2.382,2.797,2.508,3.037,2.985
kill-switch,transform-error,poisoned-miss,recovery,5,60.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,290.682,560.209,561.980,551.389,587.971,563.219
baseline,slow-original,hit,normal,5,597.600,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.348,0.485,15.701,1.249,53.749,39.754
baseline,slow-original,hit,fault,5,1197.200,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340,0.469,10.391,1.204,25.259,39.867
baseline,slow-original,hit,recovery,5,1195.200,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.353,0.532,27.759,19.443,53.876,40.079
baseline,slow-original,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,578.196,587.388,587.388,561.418,611.316,610.137
baseline,slow-original,healthy-miss,fault,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,576.817,584.187,586.614,558.693,607.351,589.195
baseline,slow-original,healthy-miss,recovery,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,580.670,880.155,885.590,850.492,904.663,895.169
baseline,slow-original,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303.238,584.215,587.417,560.657,609.024,606.911
baseline,slow-original,poisoned-miss,fault,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15576.483,15881.288,15885.599,15852.949,15910.894,15890.540
baseline,slow-original,poisoned-miss,recovery,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,551.979,877.997,886.993,851.407,913.786,890.792
bounded-wait,slow-original,hit,normal,5,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.346,0.488,4.866,1.047,19.477,41.766
bounded-wait,slow-original,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.335,0.457,0.555,0.520,0.574,1.277
bounded-wait,slow-original,hit,recovery,5,1199.800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.351,0.495,17.763,8.949,20.345,41.843
bounded-wait,slow-original,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,563.306,579.415,579.415,554.881,607.716,583.764
bounded-wait,slow-original,healthy-miss,fault,5,30.000,0.146667,0.853333,0.853333,0.000000,0.900000,0.866667,0.933333,2000.567,2001.169,2035.429,2001.195,2172.143,2071.301
bounded-wait,slow-original,healthy-miss,recovery,5,30.000,1.000000,0.000000,0.000000,0.000000,0.006667,0.000000,0.033333,576.359,717.763,1065.479,854.300,1425.695,1798.603
bounded-wait,slow-original,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.682,578.789,580.056,553.893,606.186,583.071
bounded-wait,slow-original,poisoned-miss,fault,5,60.000,0.266667,0.733333,0.733333,0.000000,0.733333,0.733333,0.733333,2000.922,16994.870,17125.728,16878.880,17203.653,17302.164
bounded-wait,slow-original,poisoned-miss,recovery,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,509.187,742.730,1390.386,1180.643,1763.519,1718.224
kill-switch,slow-original,hit,normal,5,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343,0.492,18.616,1.135,41.904,27.163
kill-switch,slow-original,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339,0.460,0.729,0.549,1.177,18.411
kill-switch,slow-original,hit,recovery,5,1199.600,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.342,0.496,10.926,1.569,20.055,30.677
kill-switch,slow-original,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,565.320,575.100,575.100,559.890,608.915,590.815
kill-switch,slow-original,healthy-miss,fault,5,30.000,0.340000,0.660000,0.000000,0.660000,0.660000,0.633333,0.666667,0.297,348.126,553.360,511.711,597.784,582.212
kill-switch,slow-original,healthy-miss,recovery,5,30.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,565.211,584.033,584.665,552.706,619.511,590.482
kill-switch,slow-original,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.562,570.359,582.960,554.530,614.396,586.517
kill-switch,slow-original,poisoned-miss,fault,5,60.000,0.333333,0.666667,0.000000,0.666667,0.666667,0.666667,0.666667,0.246,15306.445,15566.111,15544.144,15599.439,15582.961
kill-switch,slow-original,poisoned-miss,recovery,5,60.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,294.153,583.558,587.202,556.039,617.514,592.593
